HOURS_DATASCIENCE,HOURS_BACKEND,HOURS_FRONTEND,NUM_COURSES_BEGINNER_DATASCIENCE,NUM_COURSES_BEGINNER_BACKEND,NUM_COURSES_BEGINNER_FRONTEND,NUM_COURSES_ADVANCED_DATASCIENCE,NUM_COURSES_ADVANCED_BACKEND,NUM_COURSES_ADVANCED_FRONTEND,AVG_SCORE_DATASCIENCE,AVG_SCORE_BACKEND,AVG_SCORE_FRONTEND,target
81,9,47,2,7,7,3,3,0,44,46,70,beginner_front_end
34,60,23,3,4,1,3,8,1,71,61,62,beginner_backend
42,59,9,2,3,0,1,1,2,67,52,28,beginner_front_end
0,53,56,2,4,3,3,7,5,71,89,67,advanced_front_end
36,42,33,6,3,7,3,2,7,89,72,80,advanced_backend
34,45,76,3,2,5,0,4,3,73,54,71,advanced_data_science
24,21,58,1,2,8,6,4,1,47,86,63,beginner_data_science
32,20,23,6,1,5,0,3,2,68,70,79,advanced_data_science
23,74,1,7,2,7,0,3,3,66,53,77,advanced_data_science
46,65,14,8,3,5,6,4,1,59,49,78,advanced_data_science
73,37,54,4,3,4,1,3,5,58,31,80,advanced_data_science
10,62,52,3,6,1,4,5,2,65,70,70,advanced_front_end
69,33,64,4,4,6,3,4,4,51,60,65,advanced_data_science
83,59,10,7,0,7,4,3,6,65,76,100,advanced_data_science
39,20,46,2,4,7,2,3,2,51,76,85,beginner_data_science
73,32,70,3,11,5,9,6,5,55,57,69,beginner_front_end
80,37,34,3,9,4,4,3,2,54,69,58,beginner_front_end
29,50,17,3,3,3,1,4,2,76,47,46,beginner_front_end
10,52,39,3,6,6,3,4,2,74,56,37,advanced_front_end
20,27,24,4,1,6,6,4,6,81,94,53,advanced_backend
32,83,38,4,6,3,6,5,3,59,56,73,advanced_front_end
61,69,39,5,1,1,3,6,1,66,63,75,beginner_backend
0,60,44,5,3,6,6,5,6,66,76,68,advanced_backend
0,30,52,5,1,11,0,0,5,44,69,77,beginner_data_science
59,42,54,9,3,8,2,3,2,50,72,79,advanced_data_science
44,51,62,5,3,10,4,2,1,62,96,67,beginner_data_science
0,50,35,5,3,6,5,3,5,74,86,70,advanced_backend
75,15,62,3,3,5,4,3,1,47,47,64,beginner_front_end
53,71,28,2,8,4,0,4,4,31,42,100,beginner_data_science
56,76,25,6,3,5,5,4,3,52,64,63,advanced_data_science
35,68,52,3,6,0,2,3,2,47,89,74,advanced_front_end
30,67,48,5,3,6,2,3,0,65,44,56,advanced_data_science
41,68,17,4,3,2,3,4,1,86,65,58,beginner_backend
35,35,43,4,5,3,3,1,2,57,57,75,beginner_data_science
3,40,24,4,2,4,8,2,5,76,77,76,advanced_backend
38,61,52,5,5,2,4,4,4,60,79,67,advanced_front_end
82,36,32,2,11,6,5,5,1,54,82,72,beginner_front_end
30,27,56,2,3,8,3,4,2,66,100,82,beginner_data_science
56,31,46,3,2,0,5,4,5,69,67,64,beginner_data_science
40,71,33,2,5,3,5,8,3,55,58,65,advanced_data_science
0,39,38,5,4,7,1,0,5,62,58,72,beginner_data_science
57,66,25,6,3,1,2,10,1,53,58,88,beginner_backend
62,65,61,4,5,2,3,2,4,67,67,66,beginner_data_science
37,70,14,5,2,6,5,7,6,46,62,73,advanced_data_science
13,33,44,4,6,9,0,1,4,69,77,96,beginner_data_science
34,27,42,3,2,5,4,2,4,53,68,73,beginner_data_science
50,31,30,5,2,5,2,5,7,84,79,86,advanced_backend
49,49,50,4,5,5,0,4,3,68,82,96,beginner_data_science
14,17,68,3,0,6,3,9,7,44,68,59,advanced_front_end
62,30,46,4,3,5,3,3,2,60,66,66,advanced_data_science
69,41,29,7,1,7,2,1,4,58,69,100,advanced_data_science
28,0,15,3,4,3,2,4,1,85,54,68,beginner_front_end
23,43,25,3,2,0,4,6,5,70,69,88,beginner_backend
20,15,0,1,2,1,6,6,3,65,45,69,beginner_data_science
0,11,17,2,3,3,2,5,4,78,52,61,beginner_backend
62,45,34,5,5,4,3,8,2,53,62,57,advanced_data_science
18,64,18,8,6,6,3,0,0,74,62,62,advanced_backend
19,38,29,4,4,8,0,2,3,48,79,97,beginner_data_science
4,50,27,4,4,6,6,0,3,78,82,69,advanced_backend
23,45,38,4,4,2,3,5,3,82,61,54,beginner_front_end
46,57,31,3,2,1,5,4,3,62,65,62,beginner_backend
43,72,20,2,4,5,3,3,4,72,69,56,beginner_backend
18,55,47,2,2,2,6,1,3,77,83,85,advanced_backend
45,54,0,5,1,7,2,11,4,48,63,47,advanced_data_science
62,45,8,3,1,2,10,1,7,77,69,57,advanced_backend
53,29,50,3,4,0,3,3,3,61,52,51,beginner_front_end
49,21,0,8,3,4,0,6,1,63,58,60,advanced_data_science
66,70,31,6,1,0,4,5,3,64,72,79,beginner_backend
0,56,11,2,1,8,5,2,6,80,93,35,advanced_backend
50,53,5,4,1,4,8,4,4,59,59,50,advanced_backend
35,35,63,3,0,0,5,3,5,35,54,59,beginner_data_science
42,4,58,6,6,5,7,7,5,78,59,79,beginner_front_end
6,47,39,5,2,8,5,4,9,88,83,61,advanced_backend
